,Topic_24,Topic_37,Topic_49,Topic_36,Topic_34,Topic_2,Topic_29,Topic_41,Topic_25,Topic_9,Topic_44,Topic_20,Topic_33,Topic_11,Topic_12,Topic_19,Topic_47,Topic_31,Topic_39,Topic_7
AHR,0.02799239064763588,0.01425538553141327,0.1474747035894024,0.030917544303747685,0.6332106893059254,0.14706890065670253,0.8997782587547831,0.7995534180454786,0.8062094988858527,0.06208678483788389,0.615635541885242,0.0,0.2584391453625718,0.6211175361145047,0.6681736645005847,1.0000000000000002,0.02587599579084525,0.22699090925157522,0.5774048855865802,0.2549948603961352
AR,0.8493758736136288,0.1249329711656742,0.6009634067888581,0.08534682135290583,0.1076578547661172,0.28636544911656536,0.027812637841744342,0.09843588223703895,0.2736647568689107,0.365161474972681,0.9999999999999999,0.7169998780246812,0.3126992207784997,0.015041869226459642,0.10782410691412977,0.16251145672703338,0.7921708080676375,0.4150916520840686,0.0,0.34164477905424895
ARID3A,0.5578417679421213,0.8167409320879147,0.8313260175664863,0.13088954163646194,0.12886277356471199,0.7891737861798047,0.1145606039511275,0.25657427726970666,0.22224790428611124,0.11498986676832612,0.0,0.030391749388997774,0.13409622423911416,1.0,0.7719701290065131,0.7170180637743919,0.08242365865767043,0.09729105727624426,0.12124956444321683,0.36625852855931623
ARID5B,0.3628519038186571,0.019099637958716553,0.26412094284932686,0.0,0.27861442780142276,0.3404786934414898,0.3748674948502974,0.6806969805997021,0.93769850035552,0.786094409318951,0.7825103111810949,0.9458171836786124,0.1267186078384237,0.9766056269113335,0.6819195501645308,1.0,0.29098896922486,0.7394835769709227,0.8485026218766758,0.8629321812292909
ARX,0.014261228807688469,0.03097722530392354,1.0000000000000002,0.009860845475786272,0.0002768156001134773,0.0,0.003188636416770493,0.023432530535619504,0.004176475738778431,0.06271135894730015,0.02933509107747272,0.10063064375754646,0.0038639930509654684,0.0584403708722483,0.008216201268460604,0.01678470645975075,0.006803694814279012,0.06266873437641737,0.03386259493795235,0.20790927247986984
ASCL1,0.003358341089271014,0.0,0.5387382667646679,0.9525183704598648,0.72006588569263,0.05033162833146693,0.20150576384985555,0.18606253746253523,0.4458969342178095,0.1973450414132926,0.04846438302330894,0.1394316324909657,0.013293495516106361,0.22727348413537637,0.26667345641643114,0.01144675393440878,0.9999999999999999,0.139822061127646,0.20307059411242095,0.7525743521416839
ASCL2,0.026367857008227243,0.18780353144007983,0.07704278006079915,0.19021361896787212,0.1008507735240258,0.08058267896213187,0.07862428955208256,0.040998091627541165,0.0,0.047146998743490036,0.08864139199360996,0.14864480350021111,0.0,0.32171784701107115,0.0,0.2563965545911225,0.0,0.09803276429509589,0.0,1.0
ATF1,0.46990763462428675,0.4488128565034619,0.25281574215033653,0.2918639907975511,0.16814517933003992,0.29535604582287456,0.5535082129188855,0.5326274389793215,0.3831493196887723,0.22176238080504662,0.03189111191009375,0.0,0.5303672275632796,0.17436788143754245,0.6248383365654335,1.0,0.4373092901474558,0.13025364710973797,0.008193497958569718,0.3421029534665001
ATF3,0.01579991255702537,0.013592711314624922,0.02247254546167045,0.004514269893287855,0.0,0.006935944516794341,0.03108496621878841,0.04370428669986808,0.0785290954213449,0.04667834870707699,0.03534099135623238,0.012181044297568564,0.03351907370011812,0.9999999999999999,0.05706437074242238,0.195324972086232,0.007832083547200094,0.07406827030828066,0.05523682595219722,0.0661345974457035
BACH1,0.16123974419109655,0.19140189531260976,0.8019480325528372,0.5101420771482152,0.597989010728089,0.2468157010214479,0.752516272707962,0.5837214400420498,0.5060453521978296,0.41009701089649475,0.32020246016075793,0.21507019438721264,0.6892001677238067,0.007351921050603338,0.2722574236547858,1.0,0.3278760453771834,0.5267855274079671,0.0,0.4970404647752995
