,Topic_24,Topic_37,Topic_49,Topic_36,Topic_34,Topic_2,Topic_29,Topic_41,Topic_25,Topic_9,Topic_44,Topic_20,Topic_33,Topic_11,Topic_12,Topic_19,Topic_47,Topic_31,Topic_39,Topic_7
AHR,0.07384474977257682,0.12078792133635641,0.24034820212575048,0.43548197793420906,0.8576679255105714,0.5626933766937251,0.9302025096484204,0.9999999999999999,0.9122896483415633,0.0,0.36325205249549697,0.15608054691233542,0.39842175622556286,0.624182216219806,0.820065772279292,0.6138740857294885,0.16920270991572872,0.3759717167598612,0.7727148342599376,0.3940575519767665
AR,0.9162963759026277,0.8029584066764119,0.4347331878208408,0.32749954299591777,0.1314860817939706,0.5770914608882143,0.0,0.19481745903872782,0.2875825135696247,0.3847307719367039,1.0,0.7378630519006049,0.43063701945314115,0.39963834909129115,0.20293874469677076,0.38919647169786986,0.6731780513254517,0.502341418171169,0.5070239206234812,0.4030378176935815
ARID3A,0.3904253466459091,0.8338251153659306,0.5060876980505364,0.7892149758379272,0.6895043058558672,0.5912770269282777,0.6668119408113278,0.3216653315785343,0.4080750770389674,0.39484930888283687,0.0,0.4293647619286385,0.9999999999999998,0.8777460723004118,0.5619857705268851,0.5874222609419828,0.5473381879457342,0.26865821975957216,0.006413531986488863,0.49707071113668255
ARID5B,0.6331592896890097,0.20830311589517492,0.5359267068298219,0.1963891836420648,0.41185573545032117,0.8272150773522846,0.4638723148793369,0.6062729912615419,0.6512973507931505,0.3391384772801045,0.41077994727096123,0.4766640139831284,0.0,0.8370367434845034,0.48177123757508267,0.7084596362566009,0.286742976037484,0.8264416685164229,0.9999999999999998,0.9563665043442471
ARX,0.3269989225247714,0.3402439869084422,1.0,0.09341476655948511,0.13950372657039273,0.09301433908712714,0.19746903357186701,0.17670408722126302,0.10977752560350945,0.40208025975282474,0.2463970695474081,0.5517825430939229,0.0,0.38106165541411546,0.002004000079266599,0.1015283289111581,0.185915521355888,0.24921951478119692,0.16834685643391073,0.39404776577816764
ASCL1,0.16944912776362359,0.0,0.6550241643457764,0.7667916101957761,1.0,0.3506068527787077,0.6654456394731034,0.557932768432889,0.7405021988179017,0.7633423647219173,0.4544037386096404,0.6799500060557484,0.22304834571121096,0.27699859731441706,0.6779560391719557,0.04898817418944307,0.8236134011423168,0.36289870582115086,0.25990283553760246,0.5126891820085435
ASCL2,0.8528041450958435,0.9933996672778749,1.0,0.8970880430412049,0.3295175440711638,0.5565971144859774,0.5304727559840905,0.714184155627303,0.29840043481921447,0.08687102181615691,0.2634973354766253,0.20611270054686265,0.2749393475429189,0.0,0.38804825909825696,0.32244839558392974,0.9180723163674942,0.4499862280734625,0.6157996753169819,0.5946644498253153
ATF1,1.0,0.4824117873974183,0.44274385247509906,0.3913923196168754,0.4451246697928726,0.5686379922764155,0.621663858389776,0.33615472017689685,0.3220032360656111,0.14247428695158737,0.12136880741710865,0.5755149135801081,0.7386877269412135,0.2641552110712393,0.6911652266109383,0.5137196003140119,0.5025658198212812,0.34662407627371694,0.0,0.28981952903163544
ATF3,0.20353588972578252,0.0709138089655259,0.30180925575870543,0.0,0.0737495814802257,0.013354834879104271,0.3054268603938711,0.26799590620276914,0.6680609089040094,0.5285708081074326,0.4263654835219203,0.17649557921511227,0.6668304403677338,1.0,0.6790460215706547,0.8675425003504457,0.10298771709893284,0.4140351605745739,0.36506347625295865,0.44326241479247586
BACH1,0.11008857100052127,0.3874278271989007,0.4204153829780499,0.10131108774938458,0.31968058514469355,0.16068345150482166,0.5168914662461637,0.47514019774848437,0.25793093526064315,0.7311134467217859,0.47152341558170985,0.472282303005787,0.8740149302511298,0.2414761104969494,0.5608789898785309,0.7564327853029051,0.0,1.0,0.6758973985770096,0.7310818363110458
BACH2,0.9999999999999998,0.8245730911692755,0.5972530249050256,0.002607872580498105,0.21099823299101583,0.5082587571683224,0.39650387628595074,0.8010930484542886,0.7132566094107846,0.7364398287348373,0.36134335099947434,0.16134965749405494,0.0,0.7176782798270234,0.503309375772264,0.5573272671550968,0.305660066848483,0.45482585738307524,0.949451544074478,0.4811263865838964
