,AHR,AR,ARID3A,ARID5B,ARX,ASCL1,ASCL2,ATF1,ATF3,BACH1,BACH2,BATF,BCL11A,BCL11B,BCL6,BHLHE40,BHLHE41,CEBPA,CEBPB,CEBPD,CREB5,CREM,CUX2,DDIT3,DMRT2,DPF3,EBF1,EBF2,EBF3,EGR1,EGR2,EGR3,EHF,ELF1,ELF4,EMX2,EOMES,EPAS1,ERG,ESR1,ESR2,ESRRB,ESRRG,ETS1,ETS2,ETV1,ETV5,ETV6,FLI1,FOS,FOSB,FOSL1,FOSL2,FOXB1,FOXC1,FOXO1,FOXP1,FOXP2,GATA3,GATA4,GFI1,GLI2,GLI3,GLIS1,GMEB1,GRHL2,HES1,HES5,HES6,HESX1,HEY2,HEYL,HHEX,HIF1A,HLX,HMGA2,HNF4G,HOXD1,HSF1,IKZF1,IKZF2,IKZF3,IRF1,IRF4,IRF5,IRF7,IRF8,JUN,JUNB,JUND,KLF12,KLF13,KLF2,KLF4,KLF5,LEF1,LYL1,MAF,MAFB,MAFF,MAFK,MEF2A,MEF2C,MEIS1,MEOX2,MITF,MXI1,MYBL1,MYC,MYT1L,NFATC1,NFATC2,NFIA,NFIL3,NFKB1,NFKB2,NKX6-2,NPAS2,NR1D1,NR1I2,NR2F2,NR3C2,NR4A1,NR4A2,NR4A3,NR5A2,OLIG1,PAX2,PAX3,PAX5,PBX1,PBX3,PBX4,PGR,PKNOX2,PLAGL1,POU2F2,POU2F3,POU5F1,PPARA,PPARD,PPARG,PRDM1,PROX1,PRRX1,PRRX2,RARA,RARB,RBPJ,REL,RELA,RELB,RFX4,RORA,RORB,RUNX1,RUNX2,RUNX3,SMAD3,SNAI3,SOX10,SOX11,SOX18,SOX4,SOX5,SOX6,SPI1,SREBF1,ST18,STAT1,STAT2,STAT4,STAT5A,STAT6,TAL1,TBX18,TBX19,TBX21,TBX3,TCF7L1,TCF7L2,TEAD4,TET1,TET3,TFCP2L1,TFDP2,TGIF2,THRB,TRPS1,TWIST1,TWIST2,VDR,XBP1,ZBTB2,ZBTB7B
Topic_0,6.836901444126697e-08,0.0,4.2006576538811e-08,1.4822849138860087e-05,0.0,0.0,0.0,6.046804006408024e-06,0.0,0.0,1.4138400532424307e-09,0.0,0.014631390853274829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6485939742085113e-15,3.558672960276053e-06,0.07839419908707738,0.0,0.0,9.931163197845643e-11,0.0,0.0,0.0,0.0,0.0,4.948037333341045e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.843188166361669e-06,0.0,1.5310194810682834e-10,0.0,0.0,2.2779857128295066e-11,0.0,0.0,0.0,0.0,1.0155387010058026e-08,0.0,0.0,0.0,0.0009697578767514948,2.5368642388315446e-05,0.0,0.0,0.0,0.0,0.0,0.004251659568310485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3442905034816202e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.040747013580291e-11,0.0,2.2547814003824557e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.862731279686377e-09,0.15813394829133232,0.0,0.0,0.0,1.3954783941385013e-08,0.0,0.0,0.010002569415672048,0.0,0.0,2.790268556656616e-13,0.0,2.9506941910588455e-10,0.0,0.0,0.009904260232661891,0.0,0.0,0.0,0.038351775255924064,3.7400666154285827e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.685658438074661e-05,0.0,0.0,0.0,0.00014000192830360058,0.0,1.8214186362031543e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.46088937144196e-13,0.0,0.0,0.0,0.0,0.00010387815590209678,2.293471380811361e-05,0.0,0.0,0.0,0.03317618820639745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8421625362209676e-08,2.0785692222889352e-11,6.797041551293107e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0647382069279886e-09,0.0,0.0,0.007138616605221977,0.0,1.077441633736664e-06,0.0,0.6446631398104498,4.1403534181648355e-12,0.0,0.0,0.0,0.0,0.0,0.0
Topic_1,0.0,0.0,0.0,8.282873013774799e-05,0.0,0.0,0.0,0.0,0.0,5.34934351202317e-06,1.2033799148848707e-05,0.0,0.0,0.0,6.38216052416544e-06,0.0,0.0,0.0,0.0,0.0,0.0014263198342016796,0.0,0.0,0.0,0.0,3.829299165721034e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009129167401819167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024892155745650093,0.0,0.14516695595477838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029762693455493864,0.00054695510188151,4.1204985896089045e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015969925466549642,0.0,0.0,0.0,0.0,1.813973433314232e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011945280724516692,0.020982125976116574,0.00024949946992449605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5787174584293307e-05,4.7354093342936083e-07,0.01666328803065407,0.0,3.5130061977185046e-06,0.0020356045172140865,0.0,0.0,4.612463655246839e-05,0.0,0.0,0.19619089425343408,0.0,3.7966118825255716e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013484891777706303,0.0,0.0,0.0,0.0,0.0014394432575766402,0.0,0.0,8.18965255402249e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003976894366208191,9.427002186500299e-05,0.0,0.0,0.0,0.0,3.4460840280732357e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00018439867726577006,0.029651439689013723,0.0,0.10101066175047461,0.06468922118393103,0.23818674434208245,0.0,0.0,9.905443824373396e-05,0.0,7.233568926890793e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.881221320445199e-05,0.00013664358061741782,0.0,0.0,8.130305125792883e-06,0.0,2.261775534442023e-06,0.0,0.0,2.226133383683704e-05,0.0,0.0,0.0,0.0,0.0,0.0
Topic_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.299818813358653e-11,3.530285296012451e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.062861893825182e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.698028839125218e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2214064614961032e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.239745281279029e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3397013644776934e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.659781142860291e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.619975431774297e-07,0.0,0.0,0.0,4.230712638791992e-09,0.0,0.0,0.0,1.2209407290142362e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.378810501792105e-05,0.006439650176420286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.131361616840832e-05,0.0,0.0,7.813678898312772e-07,8.816206014434352e-07,0.5674527769255373,0.0,0.0,5.181097341551993e-08,0.0,9.065734600604628e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.777139918442173e-08,0.42598844732891705,0.0,0.0,1.2579898641780695e-10,0.0,2.454460853996448e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Topic_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8808821736372707e-08,0.0,0.0,0.0,2.3266510444488543e-07,0.0,0.0,0.0,0.0,0.0,4.896205384996644e-09,0.0,0.0,0.0,0.0,1.9616175084447942e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011194666357366012,0.0,0.0,0.0,0.0,0.0,0.0,2.5137964614603295e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.1880540290197815e-07,0.0,0.0,0.0,0.0,0.0,6.351866238643319e-08,2.7879570735804115e-08,0.0,0.0,0.0,0.0,0.0,1.0397240184840521e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1373364838347492e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0478387241831525e-07,0.0,5.3366421155367695e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.371218055762348e-10,1.1078050392780408e-08,0.0,0.0,0.0,5.242751993519082e-08,0.0,0.0,0.0,0.0,0.0,1.369318012124821e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.081494139212361e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.508017965351247e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.330676685752915e-08,0.0,0.0,0.0,3.842111777488508e-05,0.9991069949690198,0.0005974648915701394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.643636106502018e-08,1.1576411785155911e-07,0.0,9.363221446818286e-08,2.6332485015350314e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001291524948968075,0.0,0.0,0.0,0.0,8.315593788943554e-09,0.0,4.365241157344125e-09,3.434096803756194e-08,0.0,0.0,0.0,0.0,0.0,0.0
Topic_4,0.0,0.0,0.0,1.942805640728702e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.980831492104668e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.347217882267683e-06,0.0,0.0,0.0,0.0,5.301320577281339e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2187638435941606e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.860986696532664e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.723630014116279e-09,2.9733675409700037e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28541285501913016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028403365823155204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.84371526031693e-07,0.0,4.452300456277294e-09,0.0,3.244129949577111e-07,0.090502019811388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3662079346731643e-06,0.0,0.08285001766484319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0978170107716845e-08,0.0,0.0,0.0,3.6366547533981185e-08,3.6293027385538706e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.059841350052737e-08,0.0,0.0,0.0,0.0,7.597054351905468e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18220155032634153,0.0,0.0,0.0,0.0,0.0,0.0,0.23390246502696382,0.04636203768350269,0.0,0.050345983643498765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.754429628460106e-09,0.0,7.0749581239544395e-09,0.0,0.0,4.947727980809854e-10,0.0,0.0,0.0,0.0,0.0,0.0
Topic_5,0.0,0.0,2.1239000729712997e-05,3.469323123897835e-05,0.0,0.0,0.0,0.0,0.0,0.00017933161878496567,0.0,0.0,0.0,0.0,0.0,0.0,3.602026176881363e-05,0.0,5.553027194768211e-05,1.8263351566728015e-05,0.0,3.36132811882897e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5277227494666733e-06,0.0,7.317733911634893e-05,0.0,0.0008460213471836347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035641085693785714,0.0,0.00011066826004583566,0.2327556180784658,0.00047778865086558245,2.981825236829414e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.8891979505903664e-05,6.494538000954148e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.036180655400856e-06,0.0,0.0,0.0,0.0,0.0,0.00013927254582954976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.596713516717074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012209094954438712,0.00014037213702359854,0.0,0.0,0.27680494326254196,0.00029137353315629336,0.0,0.0,8.558229813165003e-05,0.0,0.0,0.0,0.0,0.0,9.018100170200537e-05,2.727664197031914e-06,0.0,4.875770365605919e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.893053191198875e-07,0.0,0.0,0.0,2.3978203317971955e-05,5.809363990214455e-05,0.0,0.0,0.0,0.0004345102984000572,0.0003341396167323176,0.0,0.0,0.0,0.0,0.0,0.0,3.231502182502349e-05,3.27259873738393e-05,0.0,0.0,0.0,0.0,0.0,0.4857820342305874,0.0001355233154210831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002595883903523881,0.0,0.0,4.424300719324787e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1873589456059215e-06,0.0,0.0,2.0152265849120557e-09,0.0,0.0,0.0,0.0,4.690256326698435e-07,0.0,0.0,0.0,0.0,0.0,0.0
Topic_6,2.5621977926094893e-07,0.0,0.0,6.475222421856881e-05,0.0,0.0,0.0,2.3402500923043907e-05,0.0,0.00011238915803926875,0.0004897509550292579,0.0,0.0,0.0,4.803566804641958e-06,0.0,0.0,0.0,0.0,0.002670130821341521,0.0007011019130860099,0.11581369825458754,0.0,0.0,0.0,0.0011182839784074747,0.0,0.0,0.0,9.986022158882111e-06,0.0,0.0,0.0,0.0005918567367804577,0.0,0.0,0.0,5.606748390008766e-05,0.0,0.0,7.683297813411952e-05,0.0,1.2944744254165845e-05,0.0,0.0,0.0,0.001683021037240262,0.0003076500728863727,0.0,8.932431182496255e-05,0.0,0.0,0.0,0.0,0.0,0.00035488931919080296,5.390944434731493e-05,0.0,0.0,0.0,0.0,0.0,0.0031718859027725396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010290223969440003,0.0,0.0,0.0,0.0,0.0,0.0,0.00021580032137807613,0.0,0.0,0.0,0.0,0.0,0.0,0.00023097025355176101,0.027665725413690143,4.090784377646454e-05,1.598676431392741e-07,9.987507127473366e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037358678016063604,3.679728153552068e-05,2.3880696417747266e-08,0.0,0.0004055278997398366,0.6545368377563391,0.0,0.0,4.676569001698256e-06,0.0,0.0,0.017212440582261783,0.0,0.0005006492788956377,0.0,0.0,1.6502528732923108e-07,0.0,0.0,0.0,0.00012555420676881385,0.0,0.0,0.0,0.0,2.4105909750767764e-08,0.0,0.0,0.0,2.803313903707805e-06,0.003564116176939542,0.0,0.0,0.07769737987006056,0.0,0.0,0.0,0.0,0.001790970493494989,0.00024807366764606525,0.0,0.0,1.9835119959974918e-07,0.0004914997634348796,0.0,0.0,0.0,4.182508378477432e-05,0.0,0.0,0.0,6.295154941518243e-05,3.3735301288208894e-05,4.7617972583004044e-08,0.00010670380863400623,5.1179451331676506e-05,0.0,3.274332094727108e-05,0.0,0.0,0.0,0.0,6.330907116857981e-10,0.04525830593311447,0.0,0.0,0.0006165899546423583,0.0038661796920195337,0.0002462167410791714,0.0012805653278088979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015706805154586277,0.0,0.001309412372617155,9.490433993569466e-07,0.0,2.5625365301359265e-07,0.0,8.109708970182952e-06,0.018632906990220383,0.0,0.0,0.0,0.0,0.0,0.0
Topic_7,0.0,0.0,0.0,2.026619248568993e-06,0.0,1.9342087124796713e-07,0.0,0.0,0.0,3.087581260815378e-05,5.983473998995115e-05,0.0,7.159565730815131e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9924690546022544e-05,0.0,0.0,0.0,0.0,1.3553035064200883e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.198006748227516e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3099012584131432e-07,0.0,0.0,3.0870664605675336e-06,4.027325595028338e-05,0.00016039530946166351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.525039019896146e-05,0.9990529079857945,0.0,0.0,0.0,0.0,3.2800103290887886e-06,2.9767151313225897e-06,0.0,0.0,0.0,0.0,0.0,1.0671386545268414e-07,0.0,0.0,0.0,0.0,8.910093805789202e-07,0.0,0.0,7.362177654752294e-06,0.0,0.0,0.0,4.486274868058096e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.655700510232385e-06,0.0,0.0,3.8740319548164304e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.067670019604169e-05,1.2968933077464779e-05,3.108223546845602e-05,1.9519729212925883e-05,1.9009721894092952e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.328798185143397e-05,0.0,5.69585258776589e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.1940804004309075e-07,0.0,0.0,0.0,0.0,1.4436154625573754e-07,0.0,0.0,0.0,5.8431443942075e-12,3.339787930385484e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.249663750563097e-05,0.0,0.0,9.417046902969251e-07,5.223311303708022e-06,0.0,0.0,0.0,3.671409621442533e-05,0.0,0.0,0.0,2.695514238222131e-05,7.185261157843204e-06,1.1640306521878204e-05,4.5328081434222616e-05,0.0,0.0,0.0,0.0,0.0,8.735338865145837e-08,0.0,1.3028316058582017e-06,5.0660677672917064e-06,1.1706378640439894e-06,0.0,0.0,1.6011475962583595e-05,4.362589710889235e-05,1.3000588564127839e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.683632135162711e-07,0.0,2.350538562480618e-07,4.070715502785861e-12,0.0,6.9147813755274885e-09,0.0,0.0,1.4442370440429833e-06,0.0,0.0,0.0,0.0,0.0,0.0
Topic_8,0.0,0.0,0.0,4.925191311927342e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.029707307488032655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07371478601156918,0.0,0.0,0.0,0.0,7.787835217592525e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023783877858261238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.001798724298988e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8191289357327767e-08,2.4935182051300495e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24303751164303092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3273502272141948e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.653367053504977e-10,0.0,3.279396419286492e-08,0.0,2.0298158466922174e-07,0.04572084369626265,0.0,0.0,0.0,0.0,0.0,1.010277632353368e-10,0.0,0.0394233637607679,0.0,0.006444957415806848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.82207757255139e-07,0.0,0.0,0.0,3.625333050127996e-10,9.984765157416152e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.947779521863013e-06,0.0,0.0,0.0,0.0,0.13444695583754976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10112878486425719,0.0,0.0,0.0,0.0,0.0,0.0,0.07882563178139904,0.2159344091535426,0.0,0.007814823935843906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.075093344903843e-08,0.0,0.0,0.0,0.0,0.0,0.0
Topic_9,0.0,5.609129904154196e-06,0.0,7.928720375588808e-09,0.0,0.0,0.0,0.0,0.0,2.054957611342517e-07,2.1767588426581612e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.049339627812761e-08,0.0005102097592484346,3.0918061317165365e-10,0.0,0.0,0.0,8.460807802184507e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.215441660128104e-08,0.0,0.0,0.0,4.148337574615979e-08,0.0,0.0,5.8114172751964446e-05,0.0,2.9876489706236465e-05,0.0,0.0,0.02830163520506433,0.0036132771945414925,5.491624019002923e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006625486711320565,1.0238657363792358e-09,0.0,0.0,0.0,0.0,5.543067110980133e-06,1.5520116455993327e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.90651291648185e-07,0.0,0.0,0.002022008324171817,0.0,0.0,0.0,1.3023597415114052e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.429216061661362e-06,0.0,0.0,5.976854084884703e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.37790645110204e-12,2.4897138373261107e-11,0.2197690716686391,0.04296095852026813,9.975441640203186e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.20818365756272986,0.0,4.81607177449591e-08,0.0,0.0,2.867980540827174e-07,0.0,0.0,0.0,2.9209429019633823e-07,0.0,0.0,0.0,0.0,1.4050471731537761e-08,0.0,0.0,0.0,2.0562253773764345e-06,7.714030853359445e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4036214582744597e-08,0.017820010787293564,0.0,0.0,0.0,3.854179554374382e-08,0.0,0.0,0.0,0.010231122514501353,0.32826547486359703,2.1655107923694783e-05,7.742432494563558e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.61815599479502e-08,0.12567166813014868,1.0332473614628465e-05,0.0,0.0,0.0,5.144198086392848e-07,8.773603303257367e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.343888204738311e-06,0.0,6.038455621440735e-07,1.5953462248160454e-11,3.7889718062092346e-06,4.139773637796402e-10,0.0,1.997200326242679e-09,0.005774367146078314,0.0,0.0,0.0,0.0,0.0,0.0
